form,tag,count
외면,NNG,104
s,SL,104
woo,SL,104
피어나,VV,104
냐,EC,103
ᆯ까요,EF,103
이나,JX,103
이제야,MAG,103
tell,SL,103
젊,VA,103
피우,VV,103
이서,JKS,102
가만히,MAG,102
다짐,NNG,102
새벽,NNG,102
이별,NNP,102
think,SL,102
t,SL,102
한,XPN,102
끝내,MAG,101
인연,NNG,101
mind,SL,101
this,SL,101
넓,VA,101
뒤돌,VV,101
슬퍼하,VV,101
처음,MAG,100
현실,NNG,100
사실,NNG,100
e,SL,100
too,SL,100
넘치,VV,100
아무렇,VA,99
삼키,VV,99
깨우,VV,99
갇히,VV,99
잖아요,EF,98
별빛,NNG,98
소녀,NNG,98
주위,NNG,98
cause,SL,98
걸리,VV,98
한없이,MAG,97
touch,SL,97
달라,VV,97
지르,VV,97
언제,MAG,96
멋대로,MAG,96
잘못,NNG,96
밤하늘,NNG,96
will,SL,96
yes,SL,96
go,SL,96
시리,VA,96
만지,VV,96
빼,VV,96
세,EC,95
눈동자,NNG,95
장난,NNG,95
천사,NNG,95
everybody,SL,95
dad,SL,95
즐기,VV,95
설레이,VV,95
떠올리,VV,95
끌리,VV,95
천,NR,94
every,SL,94
부서지,VV,94
찾아가,VV,94
다그,VV,94
만,NNB,93
고향,NNG,93
안개,NNG,93
차,NNG,93
서울,NNP,93
끝내,VV,93
훔치,VV,93
ᆯ께,EF,92
조용히,MAG,92
나라,NNG,92
희망,NNG,92
believe,SL,92
make,SL,92
비치,VV,92
비우,VV,92
이기,VV,92
맡기,VV,92
따라,JX,91
지,NNB,91
이슬,NNG,91
수,NNG,91
맘속,NNG,91
기회,NNG,91
hands,SL,91
keep,SL,91
rock,SL,91
there,SL,91
hot,SL,91
새기,VV,91
켜,VV,91
요,MM,90
밥,NNG,90
light,SL,90
fine,SL,90
어울리,VV,90
제,XPN,90
든지,EC,89
아아,IC,89
역시,MAG,89
오빠,NNG,89
송이,NNG,89
when,SL,89
babe,SL,89
bye,SL,89
철없,VA,89
다니,VV,89
속이,VV,89
야,IC,88
결국,MAG,88
또,MAJ,88
매력,NNG,88
창가,NNG,88
how,SL,88
here,SL,88
괴롭,VA,88
수줍,VA,88
그토록,MAG,87
아예,MAG,87
어른,NNG,87
떼,VV,87
모자라,VV,87
든,ETM,86
괜히,MAG,86
눈치,NNG,86
표현,NNG,86
결국,NNG,86
why,SL,86
the,SL,86
맑,VA,86
바치,VV,86
쓰러지,VV,86
배우,VV,86
지켜보,VV,86
막,MAG,85
평생,NNG,85
흔적,NNG,85
귓가,NNG,85
착각,NNG,85
world,SL,85
name,SL,85
e,SL,85
착하,VA,85
불어오,VV,85
머무르,VV,85
ᆯ게,EF,84
발걸음,NNG,84
방황,NNG,84
please,SL,84
without,SL,84
better,SL,84
run,SL,84
zu,SL,84
데려가,VV,84
버티,VV,84
되돌리,VV,84
대,VX,84
ᆫ대도,EC,83
천천히,MAG,83
노을,NNG,83
시,NNG,83
네,NNG,83
from,SL,83
em,SL,83
모으,VV,83
들어가,VV,83
쳐다보,VV,83
대하,VV,83
네,XSN,83
건,EC,82
창문,NNG,82
원망,NNG,82
비밀,NNG,82
관심,NNG,82
true,SL,82
