word,type,count,language
see,Eng,180,en
lonely,Eng,180,en
동안,Noun,180,kr
감싸다,Verb,180,kr
마르다,Adjective,179,kr
듯이,Noun,179,kr
e,Eng,178,en
니,Josa,178,kr
용서,Noun,177,kr
아마,Noun,177,kr
돌리다,Verb,177,kr
마저,Josa,176,kr
가을,Noun,176,kr
대답,Noun,176,kr
지나,Noun,176,kr
only,Eng,175,en
이라고,Josa,175,kr
예,Modifier,175,kr
만큼,Josa,174,kr
결국,Adverb,173,kr
not,Eng,173,en
중,Noun,173,kr
다음,Noun,173,kr
잃어버리다,Verb,173,kr
미워하다,Adjective,172,kr
잡고,Noun,172,kr
걸음,Noun,172,kr
대로,Noun,172,kr
나누다,Verb,172,kr
써다,Verb,172,kr
눈부시다,Adjective,171,kr
바쁘다,Adjective,171,kr
그래서,Adverb,171,kr
still,Eng,171,en
자,Noun,171,kr
forever,Eng,170,en
look,Eng,170,en
아이,Noun,170,kr
어서,Noun,170,kr
기쁨,Noun,170,kr
고백,Noun,169,kr
about,Eng,168,en
한숨,Noun,168,kr
운명,Noun,168,kr
fly,Eng,167,en
타다,Verb,167,kr
간직,Noun,166,kr
전화,Noun,166,kr
몇,Noun,166,kr
쓰다,Verb,166,kr
붙잡다,Verb,166,kr
딱,Adverb,165,kr
at,Eng,164,en
tonight,Eng,164,en
sorry,Eng,164,en
안기다,Verb,164,kr
시절,Noun,163,kr
바꾸다,Verb,163,kr
가져가다,Verb,163,kr
아쉽다,Adjective,162,kr
미래,Noun,162,kr
라랄,Adverb,161,kr
ha,Eng,161,en
선,Noun,161,kr
점점,Noun,161,kr
오늘밤,Noun,161,kr
when,Eng,160,en
하,Exclamation,160,kr
예전,Noun,160,kr
어깨,Noun,160,kr
가까이,Noun,160,kr
every,Eng,159,en
가면,Noun,159,kr
터지다,Verb,159,kr
적다,Verb,159,kr
느껴지다,Verb,158,kr
아끼다,Verb,158,kr
그건,Adverb,157,kr
가슴속,Noun,157,kr
거기,Noun,157,kr
한다는,Modifier,156,kr
아아,Noun,156,kr
똑같다,Adjective,155,kr
계절,Noun,155,kr
대도,Noun,155,kr
벌써,Noun,155,kr
고개,Noun,154,kr
대신,Noun,154,kr
수도,Noun,154,kr
꿈꾸다,Verb,154,kr
빨리,Adverb,153,kr
기,Modifier,153,kr
목,Noun,153,kr
외로워,Noun,153,kr
가장,Noun,153,kr
이나,Josa,152,kr
푸른,Noun,152,kr
goodbye,Eng,151,en
everybody,Eng,151,en
랄라,Adverb,150,kr
take,Eng,150,en
오지,Noun,150,kr
crazy,Eng,149,en
어떻,Modifier,149,kr
발,Noun,149,kr
놈,Noun,149,kr
란,Noun,149,kr
무너지다,Verb,149,kr
